20,10,20,15,20,20,15,20,20,10
15.6666666666667,16.5789473684211,19.7727272727273,32.6086956521739,50,73.4782608695652,88.9130434782609,140.217391304348,208.260869565217,211.086956521739
13.9583333333333,15,25.5172413793103,64.4444444444444,133.222222222222,244.111111111111,364.444444444444,471.333333333333,567.333333333333,614.111111111111
13.9393939393939,12.3809523809524,35.4814814814815,131.333333333333,296.518518518519,451.62962962963,601.851851851852,687.259259259259,920.962962962963,965.555555555556
13.6065573770492,13.4920634920635,50.6145251396648,220.446927374302,464.022346368715,639.664804469274,830.279329608938,990.558659217877,998.156424581006,1000
11.9117647058824,13.4666666666667,65.2466367713004,313.766816143498,592.690582959641,671.52466367713,994.035874439462,1000,1000,1000
11.6949152542373,12.2666666666667,82.4719101123596,397.602996254682,661.722846441948,993.071161048689,1000,1000,1000,1000
12.2727272727273,11.3698630136986,107.307692307692,497.532051282051,938.942307692308,1000,1000,1000,1000,1000
11.3888888888889,12.6086956521739,136.88202247191,639.157303370787,993.370786516854,1000,1000,1000,1000,1000
10.7692307692308,11.0869565217391,183.025,662.825,1000,1000,1000,1000,1000,1000
