10,10,20,15,10,20,25,15,30,10
15.5882352941176,16.0526315789474,20.2380952380952,25,43.695652173913,66.0869565217391,82.6086956521739,133.478260869565,202.173913043478,207.608695652174
15,14.3478260869565,22.0238095238095,57.5555555555556,125.333333333333,242.666666666667,364.333333333333,467.888888888889,568,610
12.987012987013,12.8571428571429,30.6666666666667,123.62962962963,295.407407407407,451.925925925926,597.111111111111,679.62962962963,921.407407407407,964.814814814815
13.8095238095238,12.625,41.3966480446927,217.150837988827,464.804469273743,640.558659217877,694.860335195531,990.782122905028,998.156424581006,1000
11.685393258427,12.0192307692308,55.6502242152466,311.973094170404,613.856502242152,670.85201793722,994.125560538117,1000,1000,1000
11.7582417582418,11.2727272727273,71.5355805243446,402.247191011236,662.134831460674,993.483146067416,1000,1000,1000,1000
11.7647058823529,11.25,97.1794871794872,495.705128205128,671.346153846154,1000,1000,1000,1000,1000
11.2621359223301,11.4141414141414,127.977528089888,503.988764044944,993.511235955056,1000,1000,1000,1000,1000
10.8695652173913,11.5463917525773,177.875,663.775,1000,1000,1000,1000,1000,1000
